x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,x44,x45,x46,x47,x48,x49,x50,x51,x52,x53,x54,x55,x56,x57,x58,x59,x60,x61,x62,x63,x64,x65,x66,x67,x68,x69,x70,x71,x72,x73,x74,x75,x76,x77,x78,x79,x80,x81,x82,x83,x84,x85,x86,x87,x88,x89,x90,x91,x92,x93,x94,x95,x96,x97,x98,x99,x100
-4.275455846477867,-4.275209045853189,-4.27557034160359,-4.275138137405467,-4.275886245286104,-4.275233464362286,-4.276344620171607,-4.275428283872997,-4.276875708323899,-4.275664324976565,-4.2774267209586245,-4.275900568975944,-4.277961487163885,-4.276109954723476,-4.278456078166466,-4.276275321754563,-4.278895066539332,-4.276386294271386,-4.279268795492924,-4.276437028769148,-4.279571421843371,-4.2764245979912605,-4.279799523245177,-4.276347849070236,-4.279951131255258,-4.276206622318474,-4.280025074251507,-4.276001250406028,-4.280020633031034,-4.275732328236062,-4.279937356379574,-4.275400610932191,-4.279775046839553,-4.275007068173516,-4.279533866550018,-4.274553035265513,-4.279214523714792,-4.274040427537391,-4.2788185083657915,-4.273471988901177,-4.278348349487736,-4.272851548226658,-4.277807868266106,-4.272184259582013,-4.277202404400536,-4.271476804315928,-4.2765389941336505,-4.270737534620453,-4.275826480292734,-4.2699765336891105,-4.2750755232316955,-4.269205584621741,-4.274298535256461,-4.2684380480892665,-4.273509538648018,-4.26768870156612,-4.27272392291484,-4.266973380984503,-4.27195801275935,-4.266308496359137,-4.271228541561808,-4.26571045923648,-4.270552040780709,-4.265195035557534,-4.269944165408166,-4.2647766491161425,-4.269418985234978,-4.264467669191289,-4.268988278458742,-4.264277721094589,-4.268660867545885,-4.264213059726548,-4.268442036355134,-4.264276043525376,-4.268333064885114,-4.264464757145381,-4.268330973528009,-4.264772814959123,-4.268428275514807,-4.265189197939767,-4.268613019809925,-4.265698390310968,-4.268868934669958,-4.266280562288766,-4.269175645172958,-4.266911806767646,-4.269508907305952,-4.267564346715063,-4.269840761263232,-4.2682066073773175,-4.270139481131829,-4.268803057756276,-4.270369300407669,-4.269313830144453,-4.27049011176335,-4.269695135113984,-4.27045959620603,-4.269906329023989,-4.270250842527728,-4.269953677318508
-4.275572657005547,-4.275337490258092,-4.275696051312965,-4.275246202363286,-4.27596655296003,-4.27527518594346,-4.276346316135106,-4.275384647695871,-4.2767903786045665,-4.275534995159291,-4.277259354118846,-4.275694110559217,-4.277722812174161,-4.2758383363169274,-4.278158641402079,-4.275951228859953,-4.278551387219218,-4.276021893940844,-4.278890555228006,-4.276043466989283,-4.279169183100661,-4.276011879016851,-4.279382725243427,-4.275924914607486,-4.279528225048661,-4.2757815297134885,-4.279603771976934,-4.2755814315362555,-4.279608093138992,-4.275324766617615,-4.279540395866964,-4.275012039334028,-4.27940031379291,-4.274644116517426,-4.279187960890179,-4.274222323072193,-4.278904060896056,-4.273748597940772,-4.278550124240092,-4.273225684100595,-4.278128647517452,-4.27265732888093,-4.27764331273606,-4.272048472866632,-4.277099165353412,-4.271405407288039,-4.276502751636815,-4.270735881204264,-4.275862197224664,-4.27004914084604,-4.275187209545819,-4.269355889235924,-4.274488998094294,-4.268668161010958,-4.273780137299682,-4.267999155631749,-4.273074322295637,-4.267362908820813,-4.27238599007699,-4.266773865726703,-4.271729852365133,-4.266246372940286,-4.27112035528731,-4.265794107431024,-4.270571086303659,-4.265429466216651,-4.270094155533135,-4.265162946770925,-4.26969958378488,-4.265002552184613,-4.269394732555265,-4.26495325656773,-4.26918381207854,-4.265016565582481,-4.2690675052418845,-4.265190207872519,-4.269042621658131,-4.265467858785846,-4.269102130770541,-4.26583924557313,-4.269235091885607,-4.2662901504801125,-4.26942681586626,-4.266802624181721,-4.269659111056733,-4.267355266495129,-4.269910587488073,-4.26792354847234,-4.270156994459329,-4.268480206850313,-4.270371606153168,-4.268995702501013,-4.27052596115317,-4.269439345828877,-4.2705914964311775,-4.269782285190324,-4.27054424209506,-4.270005921079561,-4.270377023828899,-4.270122507578086
-4.275400417223452,-4.275172515196068,-4.2755308281066435,-4.275090087874664,-4.275809944845599,-4.275126279472153,-4.276196674609892,-4.27524088236994,-4.276645657741392,-4.275394519422633,-4.277117763529697,-4.275555404863451,-4.277582887370811,-4.275700185163828,-4.27801922969873,-4.2758126748541265,-4.278411593573593,-4.275882188631763,-4.278749688338538,-4.275902025171345,-4.279026707115338,-4.275868238095129,-4.279238218624054,-4.275778700016026,-4.279381348943769,-4.275632428873647,-4.279454212014539,-4.27542914020705,-4.2794555617997245,-4.275168995941045,-4.279384608179529,-4.274852495055069,-4.279240970923771,-4.274480485792529,-4.279024738993581,-4.274054266228275,-4.27873660432144,-4.273575744324968,-4.2783780426895035,-4.273047631659424,-4.277951516925987,-4.272473647277565,-4.2774606797294865,-4.271858710008993,-4.2769105551634725,-4.271209099147873,-4.276307679327051,-4.270532564773137,-4.275660181973019,-4.269838370036408,-4.2749777914487925,-4.2691372536846295,-4.274271753119064,-4.268441284181315,-4.273554677967163,-4.267763727976577,-4.272840346320416,-4.267118719460478,-4.2721432983618435,-4.266520818996364,-4.27147836552836,-4.265984502546339,-4.270860126087214,-4.265523585643824,-4.270302306278224,-4.265150606630431,-4.269817154673766,-4.264876199749716,-4.269414822571671,-4.264708492698567,-4.269102786040993,-4.264652564544597,-4.268885345157463,-4.264709998396346,-4.268763233742301,-4.264878560157179,-4.268733369863231,-4.2651520180853915,-4.26878871995141,-4.265520082985159,-4.26891833255025,-4.265968515804333,-4.2691074965030245,-4.266479338445543,-4.269337992356343,-4.267031119838163,-4.269588403397028,-4.267599302909388,-4.269834459208078,-4.268156567163908,-4.2700494260987005,-4.268673340659311,-4.2702047802296015,-4.2691187054550355,-4.270271744219718,-4.269463048174579,-4.270225597770914,-4.269685360214354,-4.270056759796661,-4.269790042352755
-4.2755287243477245,-4.275322064893555,-4.275674671405433,-4.275233999936467,-4.275937601224765,-4.275236432594314,-4.2762837093177755,-4.2753001614273956,-4.276680189968711,-4.27539698992031,-4.277097673377317,-4.275502728444195,-4.277512050140721,-4.275598343645996,-4.277904690848311,-4.275669760522338,-4.278261798659896,-4.275707076438115,-4.278573462246445,-4.275703634149098,-4.2788327115878735,-4.275655162251147,-4.2790347042386,-4.275559064323097,-4.279176084216825,-4.275413878624894,-4.2792545203167505,-4.275218907542181,-4.279268389498245,-4.274973978017801,-4.279216613817092,-4.274679341351828,-4.279098606433054,-4.274335668455221,-4.278914306484094,-4.273944120729161,-4.278664279438551,-4.273506474013184,-4.278349860254031,-4.273025273813601,-4.277973318035802,-4.272504001319608,-4.277538022251462,-4.2719472310001825,-4.277048591828173,-4.271360761802988,-4.276511009705675,-4.2707517052655595,-4.275932686847402,-4.270128515494452,-4.275322461794788,-4.269500944303781,-4.274690480454572,-4.268879867814199,-4.27404811581861,-4.2682772370905155,-4.273407745810476,-4.267705711453101,-4.272782382356218,-4.267178273222163,-4.272185248834565,-4.266707766855405,-4.271629289610489,-4.266306380323452,-4.271126631983345,-4.2659850918696325,-4.270688026323142,-4.265753110373251,-4.270322294587341,-4.265617341023518,-4.270035819808162,-4.265581909095955,-4.269832108659392,-4.265647772608995,-4.269711454169303,-4.265812447791043,-4.26967070772608,-4.266069850335755,-4.2697032330935425,-4.266410321459222,-4.2697989497296565,-4.266820741133396,-4.269944519351463,-4.2672847746370195,-4.270123644500456,-4.2677832213279006,-4.270317461420548,-4.268294454269431,-4.270505028300783,-4.2687949745228195,-4.270663983412483,-4.269260195775469,-4.270771454120903,-4.26966557613803,-4.270805711334759,-4.269988768214788,-4.270748903059657,-4.270212591602891,-4.270590513438702,-4.270326314253837
-4.275167400949363,-4.2749905285504,-4.275342633994044,-4.274923421843957,-4.275626012555029,-4.274940688214242,-4.275986496175089,-4.275014538029682,-4.276392701216698,-4.275117753007353,-4.276816271469143,-4.275226907379572,-4.2772338768722715,-4.275323582075327,-4.277627510072199,-4.275394198883873,-4.277983868989265,-4.2754292521919925,-4.278293429500813,-4.275422394292454,-4.278549516204268,-4.275369586119228,-4.2787475013050935,-4.275268396028421,-4.278884174275838,-4.275117468280335,-4.2789572853377456,-4.2749161562020666,-4.278965250723665,-4.274664303574955,-4.278906993827049,-4.274362147635414,-4.278781899574333,-4.2740103219544,-4.278589857806809,-4.273609935217656,-4.27833137168576,-4.273162702719887,-4.2780077084615,-4.2726711087784635,-4.277621071396404,-4.272138579647463,-4.2771747729739795,-4.271569647766743,-4.276673390741484,-4.270970089344529,-4.276122888316872,-4.27034701848186,-4.275530685481326,-4.269708922592131,-4.2749056634559635,-4.269065626572936,-4.2742580257753975,-4.2684280611026555,-4.273599234877447,-4.267808325144605,-4.2729418315392245,-4.267219267118907,-4.272299028371248,-4.266674093797763,-4.271684282276196,-4.266185902391842,-4.271110795686531,-4.265767151993883,-4.27059096740374,-4.265429098020897,-4.27013581959147,-4.265181218777449,-4.269754432169478,-4.265030667034118,-4.269453418505112,-4.264981780809515,-4.269236476205308,-4.26503568583349,-4.269104043541816,-4.265190016949555,-4.269053084435985,-4.265438774735032,-4.2690770080230545,-4.265772320575422,-4.269165736376569,-4.266177517093102,-4.269305905585329,-4.266637991183588,-4.269481180290899,-4.267134499022151,-4.269672663604243,-4.2676453793338265,-4.269859400426535,-4.268147110375676,-4.270019019488485,-4.26861505292639,-4.27012866192486,-4.269024598984946,-4.270166512705557,-4.269352998127522,-4.270114327528135,-4.269582028162906,-4.269960551018462,-4.2696989334292965
-4.275327119496852,-4.275188057448561,-4.275536313835055,-4.275131288408467,-4.275825430704001,-4.2751363867545535,-4.276170829679463,-4.27518275815712,-4.2765494077010295,-4.275250624162098,-4.276939993951862,-4.275322531711665,-4.277324515912554,-4.27538420421089,-4.2776884051739925,-4.2754246576801425,-4.278020411385738,-4.275435857736791,-4.278312108095131,-4.275412179586068,-4.278557304788317,-4.2753498403761,-4.2787514900625405,-4.2752463947626325,-4.278891367194827,-4.275100334328934,-4.278974505086099,-4.274910802602908,-4.278999102580976,-4.274677417492554,-4.278963862551011,-4.274400194861427,-4.278867956874254,-4.274079553307625,-4.278711064833397,-4.2737163823177395,-4.2784934666804775,-4.27331215566847,-4.278216174090221,-4.272869072132715,-4.277881079693359,-4.272390206080706,-4.277491108531331,-4.271879651231591,-4.277050354989246,-4.271342641561586,-4.276564189593848,-4.270785634323448,-4.276039321204356,-4.270216341546748,-4.275483801939895,-4.269643677481208,-4.274906855494852,-4.269077552102493,-4.274318893774271,-4.268528954482781,-4.273731302775797,-4.26800953428776,-4.273156068910339,-4.267531244489536,-4.272605385994126,-4.267105910856279,-4.272091196032879,-4.266744745014171,-4.2716246834386755,-4.2664578236778565,-4.271215747912153,-4.266253561790685,-4.270872485719454,-4.266138210913452,-4.27060071161114,-4.266115415431458,-4.270403553385997,-4.266185857343453,-4.27028114752236,-4.266347015096777,-4.2702304580552495,-4.266593054052414,-4.27024524333036,-4.266914868461485,-4.270316155316517,-4.26730025435476,-4.2704309767401165,-4.267734213534643,-4.27057498229384,-4.268199373189363,-4.270731409873324,-4.268676509295631,-4.270882038271176,-4.269145176750484,-4.271007892033736,-4.269584470000055,-4.2710901063696225,-4.269973961556846,-4.271111009162571,-4.270294641492296,-4.271055214658881,-4.27052940447775,-4.270909833641995,-4.270660839164981
-4.274794062840829,-4.274698784971542,-4.275046259884505,-4.2746723497655665,-4.275364968037092,-4.274698563855643,-4.275730821313154,-4.274759205887854,-4.276123122455253,-4.274836034976506,-4.2765222680154755,-4.274912711954108,-4.276911317954715,-4.274975821473907,-4.277276572328877,-4.275015064005054,-4.277607461044415,-4.275022949248922,-4.2778960880285695,-4.274994276612198,-4.278136666501887,-4.27492558205603,-4.278324979304801,-4.274814646196552,-4.278457929005412,-4.274660105576705,-4.278533202045843,-4.2744611791190215,-4.2785490492616995,-4.274217505492318,-4.278504172173494,-4.273929077801998,-4.278397699978549,-4.273596259467618,-4.278229239690997,-4.273219863339877,-4.277998981005272,-4.272801275731747,-4.277707837589476,-4.272342607383463,-4.277357607049141,-4.27184685397105,-4.276951132440058,-4.271318049409201,-4.276492448866287,-4.27076139588341,-4.27598689945045,-4.27018335541863,-4.275441206035218,-4.269591689171727,-4.274863481767947,-4.268995408765398,-4.274263027883182,-4.268404516221069,-4.2736503990836,-4.267830215913046,-4.273037214872965,-4.267284430868305,-4.272435751496874,-4.266779439474986,-4.271858541128794,-4.266327434824643,-4.27131790074597,-4.265940023750223,-4.27082541079396,-4.265627688866887,-4.2703913698400795,-4.265399242552635,-4.270024256375297,-4.265261305832446,-4.269730231854867,-4.265217846706805,-4.26951271920621,-4.265269810937684,-4.26937208781834,-4.265414873238961,-4.26930546909149,-4.26564732811198,-4.2693067164219345,-4.265958129320763,-4.2693665164206,-4.266335078802044,-4.26947264398712,-4.266763152005041,-4.26961034607119,-4.267224942153316,-4.269762837987476,-4.267701208889545,-4.269911905014578,-4.268171530563786,-4.270038623695893,-4.268615082290271,-4.270124246001425,-4.26901157357821,-4.270151285453752,-4.269342294908955,-4.270104678279864,-4.2695908327866015,-4.269972186625427,-4.2697418636139535
-4.275021514478487,-4.274971763623419,-4.275318021140719,-4.274966702247722,-4.27565703477108,-4.274995204720043,-4.276025172556575,-4.275044480167533,-4.276407751061941,-4.275101702177789,-4.276790601783723,-4.27515522867041,-4.277161170761924,-4.2751952967819005,-4.277509000667366,-4.275214225443838,-4.2778257581259584,-4.275206278535511,-4.27810499396028,-4.27516735161103,-4.278341789956564,-4.275094605265579,-4.278532394790049,-4.27498612220926,-4.278673907951123,-4.274840629099401,-4.27876403961993,-4.274657299898925,-4.27880095447198,-4.274435642086612,-4.278783197786373,-4.274175460474817,-4.278709693918356,-4.273876886839007,-4.278579804413302,-4.273540461747701,-4.278393431651964,-4.273167254141403,-4.278151153352598,-4.272759003917881,-4.277854373141386,-4.272318272783791,-4.277505472486199,-4.271848588771344,-4.277107949472423,-4.271354570071421,-4.276666530231366,-4.270842014313378,-4.276187239486405,-4.270317940354808,-4.275677417929642,-4.269790530232343,-4.275145510028685,-4.2692689210510935,-4.274601185887562,-4.268763387300139,-4.2740551180580555,-4.268284882458664,-4.273518607546822,-4.267844699204558,-4.273003208112071,-4.2674540553025215,-4.272520282752636,-4.267123621116493,-4.2720805115222,-4.2668630112203205,-4.271693376057959,-4.266680268334117,-4.27136665130051,-4.266581371974623,-4.2711059379609955,-4.266569805959273,-4.2709142696192774,-4.266646217605032,-4.270791825493739,-4.266808196875472,-4.270735774208486,-4.267050196448176,-4.270740266420825,-4.267363605268268,-4.270796577560447,-4.267736971021385,-4.270893397045552,-4.268156362418097,-4.271017249573298,-4.26860585298507,-4.271153028354791,-4.269068104112135,-4.271284619625653,-4.269525024911046,-4.2713955993651656,-4.269958482815922,-4.271469973814141,-4.270351013320413,-4.271492897685007,-4.2706863724599335,-4.271451126597327,-4.270949563791105,-4.271332782935888,-4.271125955136807
-4.274338690360667,-4.274338208483026,-4.2746834044342075,-4.27436870074205,-4.275056994960073,-4.274422374615793,-4.27544946064145,-4.274488771671152,-4.275848488457753,-4.274556752872305,-4.276241622029469,-4.274615954063568,-4.276617599072884,-4.274657615752958,-4.276966968384047,-4.274674858231471,-4.27728218981563,-4.274662583801908,-4.277557434984517,-4.274617186509184,-4.277788259355915,-4.274536201775807,-4.277971256992266,-4.274417977497281,-4.278103760820334,-4.2742614094923335,-4.278183618155331,-4.2740657587747375,-4.278209050634083,-4.273830552623086,-4.278178595446531,-4.273555562459824,-4.278091118477275,-4.273240847219617,-4.27794588671675,-4.2728868486481275,-4.277742685792539,-4.272494524024711,-4.2774819679332365,-4.2720655015345,-4.277165015582506,-4.271602243525218,-4.276794105938818,-4.271108202982662,-4.276372661811148,-4.270587958732812,-4.27590537441518,-4.270047315260437,-4.275398284278296,-4.26949335387428,-4.274858807544884,-4.268934373284842,-4.274295483675189,-4.2683796394585825,-4.273718172535828,-4.26783970075903,-4.27313784302077,-4.26732585999089,-4.272566166049791,-4.266849827215947,-4.272015129186677,-4.266423293231133,-4.2714965785631565,-4.266057439979653,-4.271021707756335,-4.265762411196265,-4.270600520097803,-4.265546772889905,-4.270241296529243,-4.2654169979354215,-4.269950104666308,-4.26537701119021,-4.26973038536761,-4.265427830448248,-4.269582650243343,-4.265567333797501,-4.2695043170166125,-4.265790175713062,-4.269489700093069,-4.266087863613184,-4.269530162924278,-4.266448995115845,-4.269614426044906,-4.26685964389181,-4.2697290143091085,-4.267303873414523,-4.2698588207528765,-4.267764354122236,-4.269987763729151,-4.268223060468112,-4.270099516937274,-4.26866202526314,-4.270178289641543,-4.269064114596813,-4.270209602193732,-4.269413726438228,-4.270180898585428,-4.269697187426621,-4.270081653706418,-4.26990251914445
-4.274664308513616,-4.274710818210226,-4.275057317725147,-4.2747687335143985,-4.275459933532151,-4.274833884653671,-4.27586625208324,-4.274899859121937,-4.276268324900816,-4.274959611009252,-4.2766578461948885,-4.275006512317166,-4.2770271432580556,-4.275034929813535,-4.27736964405824,-4.275040425190218,-4.2776799821924785,-4.275019700930083,-4.277953885386996,-4.274970408498198,-4.2781879637603435,-4.274890909195234,-4.278379478425364,-4.274780047579549,-4.278526139510892,-4.274636971650495,-4.27862595905625,-4.274461015352154,-4.278677168281662,-4.274251646709485,-4.278678199166875,-4.274008477888112,-4.278627724037561,-4.273731328836056,-4.278524743681614,-4.2734203339259595,-4.278368712897193,-4.273076079915222,-4.278159691545042,-4.27269976296758,-4.277898508708738,-4.272293352117356,-4.277586927224386,-4.271859746265122,-4.2772277955517035,-4.271402911571809,-4.276825173784076,-4.270927986090711,-4.276384420707421,-4.27044133885752,-4.275912229451126,-4.269950515999655,-4.275416403105095,-4.269464060287097,-4.274906059599584,-4.268991741695743,-4.27439139300514,-4.268544082139519,-4.273883305197844,-4.26813202555886,-4.273393038347063,-4.2677665294665035,-4.2729317350421905,-4.267458093368965,-4.272509945024783,-4.267216246835621,-4.27213710461125,-4.267049026605083,-4.2718210208425775,-4.266962477113438,-4.271567396274743,-4.266960211303396,-4.271379431295214,-4.267043067792763,-4.271257538350786,-4.267208896065879,-4.271199196364979,-4.267452493439457,-4.2711989640888985,-4.267765706629153,-4.271248657822439,-4.268137696631313,-4.2713376870490825,-4.268555353762333,-4.271453528937066,-4.2690038379891,-4.271582312252825,-4.269467210533981,-4.271709473698641,-4.269929115952701,-4.271820443301788,-4.270373466554789,-4.271901305232748,-4.270785068100176,-4.271939360685803,-4.27115010545894,-4.271923486121789,-4.271456424263258,-4.271844218931086,-4.271693766595106
