Iters,Error
1,0.23586849285974007
5000,0.16749323960701074
10000,0.14618313570252128
15000,0.14229725229767345
20000,0.1336589191846181
25000,0.13147325267740204
30000,0.13059669959801462
35000,0.12924540529216325
40000,0.12818646230016081
45000,0.12737492843199877
50000,0.12652167043862184
55000,0.12594179282732773
60000,0.1253108527495122
65000,0.12475720982179724
70000,0.1241005030261633
75000,0.12352487496244642
80000,0.1232073822634592
85000,0.12282910332352569
90000,0.12209321940135569
95000,0.12140651907347313
100000,0.12075911425844683
