Iters,Error
1,0.18212484871346685
500,0.1613304708189228
1000,0.11624529633413455
1500,0.0616175975240405
2000,0.04285368116738542
2500,0.024697682105112684
3000,0.021112753321875524
3500,0.01722229515456286
4000,0.013900049162473128
4500,0.011478654448747818
5000,0.00931154954662454
5500,0.0077809153806912695
6000,0.005989727216028923
6500,0.004571728583727284
7000,0.003919021881788704
7500,0.003122023014386597
8000,0.0027661006970045696
8500,0.002199154630092145
9000,0.0018961341204499456
9500,0.0016939994681305812
10000,0.0015300101937809442
10500,0.0014141202504433744
11000,0.0012233304803669265
11500,0.001065700173583714
12000,0.0009137873012536247
12500,0.0008198321080070627
13000,0.0007082632925135753
13500,0.0006495350732761568
14000,0.0006088155107971184
14500,0.0005685006945464486
15000,0.0005330998533901931
15500,0.0005191567446656141
16000,0.0004936791157784896
16500,0.0004651750006236211
17000,0.0004373306239664922
17500,0.0004095736005369054
18000,0.0003937505084720695
18500,0.0003680963425085768
19000,0.0003480977010501928
19500,0.00032250491725444795
20000,0.00030624576673691486
20500,0.00028844166748444034
21000,0.0002851580475903544
21500,0.00027885878146309345
22000,0.0002722005465151604
22500,0.00026639853025853315
23000,0.00026014278710727415
23500,0.00025782767072513984
24000,0.00025153604554990804
24500,0.0002461906565695763
25000,0.0002413445625587228
25500,0.0002359007439941241
26000,0.000232425302539856
26500,0.00022790336932970734
27000,0.00022251726553028088
27500,0.00021746737719938788
28000,0.00021307363160289361
28500,0.00020964929638957273
29000,0.00020484953954158307
29500,0.00020006668890221565
30000,0.00019565709196321738
30500,0.00019115834522967414
31000,0.00018700166336037358
31500,0.0001840367587991778
32000,0.000180387840608378
32500,0.00017616859066460415
33000,0.00017227439472428913
33500,0.0001701067970773521
34000,0.00016920285927282368
34500,0.00016634064041865713
35000,0.0001640291796844463
35500,0.000161543489693343
