Iters,Error
1,0.665078438145394
1000,0.24908073910360146
2000,0.12403891326047732
3000,0.03928979704931237
4000,0.012040315345960497
5000,0.004598347829596037
6000,0.0015465393501936503
7000,0.001333136892808729
8000,0.001049489243556806
9000,0.0008149576801971965
10000,0.0006414294746138538
11000,0.00041596216491458153
12000,0.0003658816369194504
13000,0.0002866197163363772
14000,0.00023121094289947432
15000,0.00021848954679126771
16000,0.0001945414145427029
17000,0.0001806964837674735
18000,0.0001546205656219009
19000,0.00012939144543645632
20000,0.00012306869032767525
21000,0.000104220767693153
22000,9.159295710632251e-5
23000,8.002778908295586e-5
24000,6.716246787862685e-5
25000,5.388069445481921e-5
26000,5.130206260920689e-5
27000,4.8254175832464185e-5
28000,4.5299686806904244e-5
29000,4.12217109316976e-5
30000,3.8675958429565914e-5
31000,3.475233039501013e-5
32000,3.187609860995013e-5
33000,2.947543053076876e-5
34000,2.578515395173937e-5
35000,2.496384623456889e-5
36000,2.2486440217397082e-5
37000,2.122423809532936e-5
38000,2.005414378625137e-5
39000,1.8432233072616507e-5
40000,1.7865951808942764e-5
41000,1.669817038674392e-5
42000,1.5957753007876437e-5
43000,1.5232416241627008e-5
44000,1.4116082002425334e-5
45000,1.3326950180470008e-5
46000,1.2277024093344938e-5
47000,1.160595476706083e-5
48000,1.0972055896233808e-5
49000,1.0084448357307744e-5
50000,9.729805512517522e-6
51000,9.195433634682137e-6
52000,8.297047961892437e-6
53000,8.108002317612552e-6
54000,7.749409345673724e-6
55000,7.495414790273537e-6
56000,7.29675980504056e-6
57000,6.938869959208325e-6
58000,6.651793014455824e-6
59000,6.490820463596792e-6
60000,6.347114742707164e-6
61000,6.219331702655725e-6
62000,6.012480373366104e-6
63000,5.900650970934034e-6
64000,5.690704702642348e-6
65000,5.572468777499001e-6
66000,5.457173431482766e-6
67000,5.295001146475802e-6
68000,5.149879695188041e-6
69000,5.041929766492383e-6
70000,4.957004081321623e-6
71000,4.878760176305385e-6
72000,4.754846059990913e-6
73000,4.675283328442262e-6
74000,4.600688730863654e-6
75000,4.47442478127668e-6
76000,4.3988556569559965e-6
77000,4.315517184099969e-6
78000,4.272604897712022e-6
79000,4.183616907953616e-6
80000,4.0571077156200804e-6
81000,3.9797711821592645e-6
82000,3.862608266377788e-6
83000,3.7832969186268106e-6
