Iters,Error
1,0.5838087896471673
1000,0.2515996834463827
2000,0.0755352601891179
3000,0.028548740750404086
4000,0.005519074833374499
5000,0.0016094892140821482
6000,0.0010450065791109072
7000,0.0008478532908934148
8000,0.0006145106307879032
9000,0.0005333654505481029
10000,0.0004967443145108941
11000,0.0004043368278658933
12000,0.0003829860522484059
13000,0.0003145600696633679
14000,0.0003009092400861736
15000,0.00027444377232465353
16000,0.00025387448386327173
17000,0.00024715121197760087
18000,0.00023791821838398664
19000,0.00022840607226272633
20000,0.0002221654906394903
21000,0.00021434119518805439
22000,0.00020908661010442137
23000,0.00020537943842988918
24000,0.0001939192839886427
25000,0.000189771548512468
26000,0.0001786551016477399
27000,0.00017179443406444364
28000,0.00016747883982573138
29000,0.0001565896870579983
30000,0.00014901975800706837
31000,0.00014078154850457025
32000,0.00013715334122750105
33000,0.00012906428033316404
34000,0.00012108705114879684
35000,0.0001123278698905207
36000,0.00010215993126235964
37000,9.557864040202042e-5
38000,8.975593883711509e-5
39000,8.325445402928863e-5
40000,7.8924822671693e-5
41000,7.246939384947186e-5
42000,6.870567328468739e-5
43000,6.672546882748837e-5
44000,6.113219134696846e-5
45000,5.9879734515821776e-5
46000,5.8399106067118556e-5
47000,5.6467364734968634e-5
48000,5.5011210053463886e-5
49000,5.3170387718117615e-5
50000,5.1879563854865857e-5
51000,5.074911283395397e-5
52000,4.888665867278631e-5
53000,4.775176130985199e-5
54000,4.6111820128994643e-5
55000,4.5032519340631174e-5
56000,4.372091644824687e-5
57000,4.227711457935237e-5
58000,4.1740067327725735e-5
59000,4.0923530919428966e-5
60000,4.041578387944345e-5
61000,3.9887711726458415e-5
62000,3.9301972562020734e-5
63000,3.9205910025910715e-5
64000,3.916351566755455e-5
65000,3.916088602139519e-5
66000,3.9160825562324575e-5
67000,3.916082024038372e-5
68000,3.916081950364906e-5
69000,3.916081917882269e-5
70000,3.916081932327434e-5
71000,3.916081932117454e-5
